date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:18	12364/12364	---M-Z	200	added ('OK')	text/html	etag:%22cfedf83568b9c0fb15c9da4e30bb4cf7-ssl-df%22	https://printthebob.com/	/Users/oneilbenjamin/websites/bbpp/index-2.html	(from )
21:32:18	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1682653541-ssl-df	https://printthebob.com/robots.txt		(from )
21:32:22	576062/576062	---M--	200	added ('OK')	image/png	etag:%224c26ab14735fe25ae3ad3942f7f1901c-ssl%22	https://printthebob.com/assets/images/logo.png	/Users/oneilbenjamin/websites/bbpp/assets/images/logo.png	(from https://printthebob.com/)
21:32:22	576062/576062	---M--	200	added ('OK')	image/png	etag:%224c26ab14735fe25ae3ad3942f7f1901c-ssl%22	https://app.printthebob.com/assets/images/logo.png	/Users/oneilbenjamin/websites/bbpp/assets/images/logo-2.png	(from https://printthebob.com/)
21:32:24	77875/77875	---MCZ	200	added ('OK')	text/css	etag:%22298220af2f871d3a2136cb2125b54086-ssl-df%22	https://printthebob.com/assets/css/animate.css	/Users/oneilbenjamin/websites/bbpp/assets/css/animate.css	(from https://printthebob.com/)
21:32:24	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22b8261250f173b92d2ac4240f4071a866-ssl-df%22	https://printthebob.com/assets/css/tiny-slider.css	/Users/oneilbenjamin/websites/bbpp/assets/css/tiny-slider.css	(from https://printthebob.com/)
21:32:28	28260/28260	---MCZ	200	added ('OK')	text/css	etag:%221ae2f8543d947e28a1fc520e726b08af-ssl-df%22	https://printthebob.com/assets/css/LineIcons.2.0.css	/Users/oneilbenjamin/websites/bbpp/assets/css/LineIcons.2.0.css	(from https://printthebob.com/)
21:32:30	153111/153111	---MCZ	200	added ('OK')	text/css	etag:%2294ca80088e6091c69e8879250e3faa13-ssl-df%22	https://printthebob.com/assets/css/bootstrap-5.0.0-beta1.min.css	/Users/oneilbenjamin/websites/bbpp/assets/css/bootstrap-5.0.0-beta1.min.css	(from https://printthebob.com/)
21:32:30	11304/11304	---M-Z	200	added ('OK')	text/css	etag:%224c72d53fab65bee9e892e22a0862a057-ssl-df%22	https://printthebob.com/assets/css/default.css	/Users/oneilbenjamin/websites/bbpp/assets/css/default.css	(from https://printthebob.com/)
21:32:34	37032/37032	---MCZ	200	added ('OK')	text/css	etag:%22d983f6e3b78d3ff073a9f3675599b36a-ssl-df%22	https://printthebob.com/assets/css/style.css	/Users/oneilbenjamin/websites/bbpp/assets/css/style.css	(from https://printthebob.com/)
21:32:36	12364/12364	---MCZ	200	added ('OK')	text/html	etag:%22cfedf83568b9c0fb15c9da4e30bb4cf7-ssl-df%22	https://printthebob.com/index.html	/Users/oneilbenjamin/websites/bbpp/index-3.html	(from https://printthebob.com/)
